"source_transaction_id","coverage_code","limits","deductable","per_occurance","premium","created_date"
"472038844_256383777","10",300000,,100000,150.00,
"472038845_256383794","10",5000000,,1000000,200.00,
"472038863_256391782","17",1000000,,1000000,150.00,
"472038864_256391801","17",1000000,,1000000,150.00,
"472038868_256398845","17",1000000,,1000000,150.00,
"472038875_256434002","17",1000000,,1000000,150.00,
"472038876_256383858","10",300000,,100000,150.00,
"472038883_256383908","10",3000000,,1000000,182.00,
"472038887_256383956","10",3000000,,1000000,182.00,
"472039021_256384654","10",3000000,,1000000,182.00,
"472039166_256385335","10",3000000,,1000000,182.00,
"472039169_256385352","10",3000000,,1000000,182.00,
"472039176_256385450","10",5000000,,1000000,200.00,
"472039178_0","17",3000000,,1000000,182.00,
"472039297_256386338","10",5000000,,1000000,200.00,
"472039356_256386873","10",3000000,,1000000,182.00,
"472039429_256387666","10",3000000,,1000000,182.00,
"472039612_256388249","10",1000000,,1000000,150.00,
"472039865_0","10",5000000,,1000000,200.00,
"472039891_256388719","10",5000000,,1000000,200.00,
"472039894_256388820","10",5000000,,1000000,200.00,
"472039895_0","17",3000000,,1000000,182.00,
"472040157_256391376","10",5000000,,1000000,200.00,
"472040158_0","17",3000000,,1000000,182.00,
"472040388_256393404","17",1000000,,1000000,150.00,
"472040548_256394729","17",1000000,,1000000,150.00,
"472040680_256395427","10",5000000,,1000000,200.00,
"472040682_0","17",3000000,,1000000,182.00,
"472041315_0","10",5000000,,1000000,200.00,
"472041317_0","10",5000000,,1000000,200.00,
"472041319_256400559","10",3000000,,1000000,182.00,
"472041372_256401355","17",1000000,,1000000,150.00,
"472041406_256401369","17",1000000,,1000000,150.00,
"472041538_256402439","17",1000000,,1000000,150.00,
"472041548_256402876","17",1000000,,1000000,150.00,
"472041549_256402893","17",300000,,100000,150.00,
"472041550_256402909","17",300000,,100000,150.00,
"472041576_256402652","10",5000000,,1000000,200.00,
"472041599_256407530","17",1000000,,1000000,150.00,
"472041601_256407558","17",1000000,,1000000,150.00,
"472042094_256407561","17",1000000,,1000000,150.00,
"472042100_256409665","17",1000000,,1000000,150.00,
"472042103_256409889","17",1000000,,1000000,150.00,
"472042105_256409908","17",1000000,,1000000,150.00,
"472042231_256408595","10",500000,,100000,150.00,
"472042232_256408600","07",300000,,100000,150.00,
